product_id,product_name,product_manfacture,product_price,product_image_url,product_available
236780,Dettol Cool  Soap (buy 4 Get 1 Free) Wrap Of 625 G,Dettol,190.00,https://cdn01.pharmeasy.in/dam/products_otc/R85254/dettol-soap-cool-125gm-buy-4-get-1-free-1-1593804987.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
3482695,Dettol  Body Wash And Shower Gel Nourish Bottle Of 250 Ml,Dettol,180.00,https://cdn01.pharmeasy.in/dam/products_otc/H52504/dettol-body-wash-and-shower-gel-nourish-bottle-of-250-ml-2-1600674217.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
172204,Kesh King Ayurvedic Hair Oil Bottle Of 300 Ml,Kesh King,280.50,https://cdn01.pharmeasy.in/dam/products_otc/I05671/kesh-king-ayurvedic-scalp-and-hair-medicinal-oil-300ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
38917,Candid Dusting Anti Fungal Powder Bottle Of 50 G,CANDID,76.00,https://cdn01.pharmeasy.in/dam/products_otc/032593/candid-dusting-powder-50-gm-2-1597364998.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
486870,Liveasy Wellness Multivitamin Women - With Women Wellness And Beauty Blend - Builds Immunity - Bottle Of 60,LivEasy,499.50,https://cdn01.pharmeasy.in/dam/products_otc/U58914/liveasy-wellness-multivitamin-women-special-women-wellness-beauty-energy-blend-60-tablet-1-1594992078.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
11908,Candid Gold Powder 100gm,CANDID GOLD,176.70,https://cdn01.pharmeasy.in/dam/products_otc/265117/candid-gold-powder-100gm-2-1597361782.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
174505,Zandu Pure Honey Health Food Bottle Of 500 G,Zandu,256.50,https://cdn01.pharmeasy.in/dam/products_otc/I07386/zandu-pure-honey-500gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
218479,Colgate Sensitive Everyday Protection Toothpaste - 160g (buy 1 Get 1 Free),Colgate,110.40,https://cdn01.pharmeasy.in/dam/products_otc/I44222/colgate-sensitive-everyday-protection-anticavity-toothpaste-80g-buy-1-get-1-free-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
193174,Maxrich Intensive Moisturizer Tube Of 150 G,Maxrich,399.20,https://cdn01.pharmeasy.in/dam/products_otc/I13920/maxrich-intensive-moisturizer-tube-of-150-g-2-1601563690.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
215528,Selsun S Anti Dandruff Bottle Of 120ml Shampoo,SELSUN,324.70,https://cdn01.pharmeasy.in/dam/products/I41271/selsun-s-anti-dandruff-bottle-of-120ml-shampoo-box-front-1-1603703639.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
